"patt","no.contacts"
"Cospace-time",14.5
"Cospace-time",13
"Cospace-time",56.75
"Cospace-time",5.25
"Cospace-time",3.5
"Cospace-time",96.5
"Cospace-time",43
"Cospace-time",6.33333333333333
"Cospace-time",16.3333333333333
"Cospace-time",6
"Cospace-time",5
"Cospace-time",116.666666666667
"Cospace-time",32.5
"Cospace-time",15.5
"Cospace-time",23
"Cospace-time",5.77777777777778
"Cospace-time",134.25
"Cospace-time",2
"Cospace-time",8.25
"Cospace-time",68.8333333333333
"Cospace-time",57.6666666666667
"Cospace-time",24.5
"Cospace-time",4
"Cospace-time",9.28571428571429
"Cospace-time",1.5
"Cospace-time",42.5
"Cospace-time",34.5
"Cospace-time",1.5
"Cospace-time",41.25
"Cospace-time",5
"Other",8
"Other",7
"Other",3.5
"Other",1
"Other",1
"Other",1
"Other",1
"Other",4
"Other",1
"Other",7
"Other",4
"Other",1
"Other",2
"Other",2
"Other",1
"Other",3
"Other",1
"Other",1
"Other",1
"Other",2
"Other",2.83333333333333
"Other",1
"Other",3
"Other",1
"Other",2.5
"Other",0.75
"Other",1
"Other",1
"Other",1
"Other",1.75
"Dwelling",3
"Dwelling",1
"Dwelling",1
"Dwelling",5
"Dwelling",2
"Dwelling",2
"Dwelling",1
"Dwelling",1
"Dwelling",4
"Dwelling",1
"Dwelling",3
"Dwelling",1
"Dwelling",3.5
"Dwelling",1
"Dwelling",1
"Dwelling",1
"Dwelling",1
"Dwelling",1
"Dwelling",2
"Dwelling",0.4
"Dwelling",1
"Dwelling",3
"Dwelling",2
"Dwelling",4
"Dwelling",1
"Dwelling",1
"Dwelling",1
"Dwelling",2
"Dwelling",10
"Dwelling",2
"Work",11.6666666666667
"Work",2
"Work",48
"Work",1.33333333333333
"Work",7.33333333333333
"Work",1.71428571428571
"Work",17.75
"Work",2
"Work",1
"Work",7
"Work",1
"Work",1
"Work",14
"Work",7.66666666666667
"Work",32
"Work",1
"Work",1.71428571428571
"Work",15
"Work",44
"Work",25.4615384615385
"Work",40
"Work",1
"Work",2
"Work",7.75
"Work",6
"Work",1
"Work",16
"Work",4
"Work",48
"Work",1
"Community",17
"Community",37
"Community",74
"Community",2
"Community",15
"Community",132
"Community",33
"Community",74
"Community",60
"Community",7
"Community",26
"Community",1
"Community",2
"Community",1
"Community",1
"Community",54
"Community",10
"Community",1
"Community",7
"Community",5
"Community",1
"Community",1
"Community",40
"Community",6
"Community",5
"Community",15.5
"Community",206
"Community",52
"Community",2
"Community",3
