"tau","label","beta"
0,"home",0
0.05,"home",0.124189836422922
0.1,"home",0.158980249125089
0.15,"home",0.183080036671428
0.2,"home",0.201814387204708
0.25,"home",0.217148271872132
0.3,"home",0.230061392709613
0.35,"home",0.241125571175732
0.4,"home",0.250709487132991
0.45,"home",0.259067917654182
0.5,"home",0.266386221355842
0.55,"home",0.272804734438019
0.6,"home",0.278433145830203
0.65,"home",0.283359456822669
0.7,"home",0.287655823598952
0.75,"home",0.291382511642575
0.8,"home",0.294590657095549
0.85,"home",0.297324246965532
0.9,"home",0.299621572090103
0.95,"home",0.30151631476119
1,"home",0.303038377319667
1.05,"home",0.304214523343636
1.1,"home",0.305068880793177
1.15,"home",0.305623341827082
1.2,"home",0.305897884152352
1.25,"home",0.305910832003058
1.3,"home",0.305679070117666
1.35,"home",0.305218220725325
1.4,"home",0.304542791129556
1.45,"home",0.303666297707071
1.5,"home",0.302601370828521
1.55,"home",0.301359844226109
1.6,"home",0.2999528315897
1.65,"home",0.29839079260467
1.7,"home",0.296683590206095
1.75,"home",0.294840540482417
1.8,"home",0.292870456393736
1.85,"home",0.290781686257985
1.9,"home",0.288582147789503
1.95,"home",0.286279358339204
2,"home",0.283880461876423
2.05,"home",0.281392253163921
2.1,"home",0.278821199505227
2.15,"home",0.2761734603842
2.2,"home",0.273454905267772
2.25,"home",0.270671129802292
2.3,"home",0.267827470600182
2.35,"home",0.264929018785411
2.4,"home",0.261980632442635
2.45,"home",0.258986948094896
2.5,"home",0.255952391317946
2.55,"home",0.25288118658491
2.6,"home",0.249777366422852
2.65,"home",0.246644779952386
2.7,"home",0.243487100872542
2.75,"home",0.240307834945452
2.8,"home",0.237110327028804
2.85,"home",0.233897767698308
2.9,"home",0.23067319949746
2.95,"home",0.22743952284762
3,"home",0.22419950164766
3.05,"home",0.220955768589176
3.1,"home",0.217710830210434
3.15,"home",0.214467071709684
3.2,"home",0.211226761536315
3.25,"home",0.207992055776367
3.3,"home",0.204765002347257
3.35,"home",0.201547545015022
3.4,"home",0.19834152724611
3.45,"home",0.195148695904543
3.5,"home",0.191970704804237
3.55,"home",0.188809118125362
3.6,"home",0.185665413702776
3.65,"home",0.182540986193851
3.7,"home",0.179437150132347
3.75,"home",0.176355142874413
3.8,"home",0.173296127442275
3.85,"home",0.170261195270691
3.9,"home",0.167251368860846
3.95,"home",0.16426760434599
4,"home",0.161310793972759
4.05,"home",0.158381768501859
4.1,"home",0.15548129953147
4.15,"home",0.15261010174652
4.2,"home",0.149768835096746
4.25,"home",0.14695810690624
4.3,"home",0.144178473917032
4.35,"home",0.141430444269063
4.4,"home",0.138714479418786
4.45,"home",0.136030995998456
4.5,"home",0.133380367618095
4.55,"home",0.130762926611978
4.6,"home",0.128178965731382
4.65,"home",0.125628739785268
4.7,"home",0.123112467230466
4.75,"home",0.120630331712859
4.8,"home",0.118182483560998
4.85,"home",0.115769041233505
4.9,"home",0.113390092721577
4.95,"home",0.111045696907826
5,"home",0.108735884882667
5.05,"home",0.106460661219408
5.1,"home",0.104220005209132
5.15,"home",0.102013872056474
5.2,"home",0.0998421940372967
5.25,"home",0.0977048816192819
5.3,"home",0.0956018245464048
5.35,"home",0.0935328928882227
5.4,"home",0.091497938054894
5.45,"home",0.0894967937788119
5.5,"home",0.0875292770637114
5.55,"home",0.0855951891020885
5.6,"home",0.0836943161617457
5.65,"home",0.0818264304422596
5.7,"home",0.0799912909021447
5.75,"home",0.0781886440574709
5.8,"home",0.0764182247526733
5.85,"home",0.0746797569042747
5.9,"home",0.0729729542182282
5.95,"home",0.0712975208815679
6,"home",0.0696531522290432
6.05,"home",0.0680395353853963
6.1,"home",0.0664563498839295
6.15,"home",0.0649032682619935
6.2,"home",0.063379956634017
6.25,"home",0.0618860752426832
6.3,"home",0.0604212789888466
6.35,"home",0.0589852179407726
6.4,"home",0.0575775378232685
6.45,"home",0.0561978804872641
6.5,"home",0.0548458843603886
6.55,"home",0.0535211848790788
6.6,"home",0.0522234149027434
6.65,"home",0.050952205110496
6.7,"home",0.0497071843809609
6.75,"home",0.0484879801556436
6.8,"home",0.0472942187863484
6.85,"home",0.0461255258671157
6.9,"home",0.0449815265511405
6.95,"home",0.0438618458531254
7,"home",0.0427661089375111
7.05,"home",0.0416939413930166
7.1,"home",0.0406449694939152
7.15,"home",0.0396188204484583
7.2,"home",0.0386151226348551
7.25,"home",0.037633505825204
7.3,"home",0.0366736013977627
7.35,"home",0.0357350425379376
7.4,"home",0.034817464428361
7.45,"home",0.0339205044284196
7.5,"home",0.0330438022435874
7.55,"home",0.0321870000849071
7.6,"home",0.0313497428189585
7.65,"home",0.0305316781086416
7.7,"home",0.0297324565450966
7.75,"home",0.0289517317710726
7.8,"home",0.0281891605960516
7.85,"home",0.0274444031034247
7.9,"home",0.0267171227500122
7.95,"home",0.0260069864582082
8,"home",0.0253136647010285
8.05,"home",0.0246368315803271
8.1,"home",0.0239761648984455
8.15,"home",0.0233313462235477
8.2,"home",0.0227020609488895
8.25,"home",0.0220879983462623
8.3,"home",0.0214888516138468
8.35,"home",0.0209043179187044
8.4,"home",0.020334098434127
8.45,"home",0.0197778983720622
8.5,"home",0.0192354270108213
8.55,"home",0.0187063977182753
8.6,"home",0.0181905279707343
8.65,"home",0.0176875393677029
8.7,"home",0.017197157642698
8.75,"home",0.0167191126703073
8.8,"home",0.0162531384696654
8.85,"home",0.0157989732045155
8.9,"home",0.0153563591800214
8.95,"home",0.0149250428364892
9,"home",0.0145047747401521
9.05,"home",0.0140953095711674
9.1,"home",0.0136964061089705
9.15,"home",0.0133078272151251
9.2,"home",0.0129293398138045
9.25,"home",0.0125607148700346
9.3,"home",0.0122017273658247
9.35,"home",0.0118521562743074
9.4,"home",0.0115117845320063
9.45,"home",0.0111803990093427
9.5,"home",0.0108577904794938
9.55,"home",0.0105437535857055
9.6,"home",0.0102380868071619
9.65,"home",0.00994059242351118
9.7,"home",0.00965107647814003
9.75,"home",0.00936934874028911
9.8,"home",0.00909522266609611
9.85,"home",0.00882851535865104
9.9,"home",0.00856904752714419
9.95,"home",0.00831664344518462
10,"home",0.00807113090836383
10.05,"home",0.00783234119113591
10.1,"home",0.00760010900308327
10.15,"home",0.00737427244463327
10.2,"home",0.0071546729622892
10.25,"home",0.00694115530343596
10.3,"home",0.00673356747077803
10.35,"home",0.00653176067646522
10.4,"home",0.00633558929595899
10.45,"home",0.00614491082168967
10.5,"home",0.00595958581655291
10.55,"home",0.00577947786729113
10.6,"home",0.00560445353780388
10.65,"home",0.00543438232242859
10.7,"home",0.00526913659923145
10.75,"home",0.00510859158334619
10.8,"home",0.00495262528039628
10.85,"home",0.00480111844003467
10.9,"home",0.00465395450963319
10.95,"home",0.00451101958815198
11,"home",0.00437220238021781
11.05,"home",0.00423739415043834
11.1,"home",0.00410648867797811
11.15,"home",0.00397938221142021
11.2,"home",0.00385597342393641
11.25,"home",0.00373616336878708
11.3,"home",0.00361985543517075
11.35,"home",0.00350695530444199
11.4,"home",0.00339737090671524
11.45,"home",0.00329101237787038
11.5,"home",0.00318779201697562
11.55,"home",0.00308762424414125
11.6,"home",0.00299042555881743
11.65,"home",0.00289611449854776
11.7,"home",0.00280461159818954
11.75,"home",0.00271583934961073
11.8,"home",0.00262972216187255
11.85,"home",0.00254618632190609
11.9,"home",0.00246515995569001
11.95,"home",0.00238657298993614
12,"home",0.00231035711428863
12.05,"home",0.00223644574404173
12.1,"home",0.00216477398338059
12.15,"home",0.00209527858914883
12.2,"home",0.00202789793514583
12.25,"home",0.00196257197695626
12.3,"home",0.00189924221731385
